date,operating_pe_ratio
"Oct. 20, 2016",22.59
"Oct. 19, 2016",22.61
"Oct. 18, 2016",22.63
"Oct. 17, 2016",22.43
"Oct. 14, 2016",22.21
"Oct. 13, 2016",22.42
"Oct. 12, 2016",22.03
"Oct. 11, 2016",21.84
"Oct. 10, 2016",22.09
"Oct. 7, 2016",22.03
"Oct. 6, 2016",21.91
"Oct. 5, 2016",21.82
"Oct. 4, 2016",21.84
"Oct. 3, 2016",22.34
"Sept. 30, 2016",22.72
"Sept. 29, 2016",24.51
"Sept. 28, 2016",24.76
"Sept. 27, 2016",24.94
"Sept. 26, 2016",25.36
"Sept. 23, 2016",25.48
"Sept. 22, 2016",25.41
"Sept. 21, 2016",25.28
"Sept. 20, 2016",24.82
"Sept. 19, 2016",24.87
"Sept. 16, 2016",24.77
"Sept. 15, 2016",24.54
"Sept. 14, 2016",24.38
"Sept. 13, 2016",24.14
"Sept. 12, 2016",24.43
"Sept. 9, 2016",24.14
"Sept. 8, 2016",25.04
"Sept. 7, 2016",24.96
"Sept. 6, 2016",25.00
"Sept. 2, 2016",24.74
"Sept. 1, 2016",24.53
"Aug. 31, 2016",24.58
"Aug. 30, 2016",24.55
"Aug. 29, 2016",24.75
"Aug. 26, 2016",24.65
"Aug. 25, 2016",25.18
"Aug. 24, 2016",25.28
"Aug. 23, 2016",25.34
"Aug. 22, 2016",25.67
"Aug. 19, 2016",25.71
"Aug. 18, 2016",25.86
"Aug. 17, 2016",25.27
"Aug. 16, 2016",24.86
"Aug. 15, 2016",25.18
"Aug. 12, 2016",25.45
"Aug. 11, 2016",25.43
"Aug. 10, 2016",25.24
"Aug. 9, 2016",25.19
"Aug. 8, 2016",25.21
"Aug. 5, 2016",25.36
"Aug. 4, 2016",25.60
"Aug. 3, 2016",25.62
"Aug. 2, 2016",25.53
"Aug. 1, 2016",25.46
"July 29, 2016",25.38
"July 28, 2016",25.30
"July 27, 2016",25.38
"July 26, 2016",25.46
"July 25, 2016",25.77
"July 22, 2016",25.80
"July 21, 2016",25.46
"July 20, 2016",25.50
"July 19, 2016",25.56
"July 18, 2016",25.61
"July 15, 2016",25.65
"July 14, 2016",25.48
"July 13, 2016",25.62
"July 12, 2016",25.28
