date,Open,High,Low,Close
"Sept. 21, 2016",77.96,81.24,77.96,81.16
"Sept. 20, 2016",76.46,78.17,74.41,76.25
"Sept. 19, 2016",81.19,82.07,76.97,77.04
"Sept. 16, 2016",80.31,80.34,77.75,80.01
"Sept. 15, 2016",80.29,82.28,80.02,80.83
"Sept. 14, 2016",81.81,84.69,79.19,79.33
"Sept. 13, 2016",86.12,86.59,80.60,82.51
"Sept. 12, 2016",86.56,89.28,84.46,87.37
"Sept. 9, 2016",94.33,94.36,88.33,88.37
"Sept. 8, 2016",91.63,95.48,90.80,95.41
"Sept. 7, 2016",91.09,92.26,89.70,90.21
"Sept. 6, 2016",89.86,91.87,88.44,90.86
"Sept. 2, 2016",87.79,90.85,87.79,88.47
"Sept. 1, 2016",85.15,86.64,84.30,85.77
"Aug. 31, 2016",87.77,89.14,85.16,86.34
"Aug. 30, 2016",89.79,91.33,88.11,88.94
"Aug. 29, 2016",87.09,90.22,86.91,89.12
"Aug. 26, 2016",87.36,90.31,87.27,88.16
"Aug. 25, 2016",86.68,89.44,86.00,87.27
"Aug. 24, 2016",88.61,90.61,86.73,87.02
"Aug. 23, 2016",87.28,91.56,87.28,90.04
"Aug. 22, 2016",91.08,91.19,86.90,88.04
"Aug. 19, 2016",92.02,92.13,88.81,91.08
"Aug. 18, 2016",87.49,93.27,87.49,93.17
"Aug. 17, 2016",85.31,86.66,83.66,86.53
"Aug. 16, 2016",87.12,87.93,85.01,86.46
"Aug. 15, 2016",85.53,88.97,85.53,87.31
"Aug. 12, 2016",85.33,86.47,83.05,84.38
"Aug. 11, 2016",82.95,86.32,81.65,85.02
"Aug. 10, 2016",86.43,87.01,82.42,82.52
"Aug. 9, 2016",89.69,90.35,85.61,86.37
"Aug. 8, 2016",81.64,90.50,81.64,89.14
"Aug. 5, 2016",80.84,81.32,78.39,80.71
"Aug. 4, 2016",80.05,84.16,79.69,80.42
"Aug. 3, 2016",75.06,80.69,74.20,80.09
"Aug. 2, 2016",78.09,79.17,72.96,74.83
"Aug. 1, 2016",79.61,79.61,74.70,75.65
"July 29, 2016",79.38,81.94,77.78,81.59
"July 28, 2016",82.22,82.91,78.91,79.74
"July 27, 2016",89.20,92.61,82.59,82.94
"July 26, 2016",85.76,89.37,84.94,89.11
"July 25, 2016",90.19,90.19,85.70,85.80
"July 22, 2016",93.66,93.88,90.44,91.48
"July 21, 2016",96.13,98.74,93.66,93.79
"July 20, 2016",94.53,98.44,91.62,96.34
"July 19, 2016",97.86,98.05,94.33,95.59
"July 18, 2016",95.03,98.75,93.37,98.54
"July 15, 2016",96.72,97.34,94.42,96.06
"July 14, 2016",97.42,99.68,96.10,96.10
"July 13, 2016",102.23,103.78,95.67,97.04
"July 12, 2016",94.79,104.09,94.79,102.36
"July 11, 2016",97.65,99.05,93.35,93.53
"July 8, 2016",94.37,97.80,94.04,96.68
"July 7, 2016",98.35,102.20,92.84,93.32
"July 6, 2016",96.14,97.96,94.40,96.69
"July 5, 2016",107.75,107.75,93.03,96.92
"July 1, 2016",100.32,108.73,100.32,108.07
"June 30, 2016",102.21,102.38,98.01,101.49
"June 29, 2016",101.95,104.93,100.99,102.86
"June 28, 2016",94.23,101.10,94.23,100.41
"June 27, 2016",100.74,100.74,91.66,94.23
"June 24, 2016",110.74,110.74,102.44,103.00
"June 23, 2016",106.94,110.77,104.94,110.74
"June 22, 2016",105.95,107.87,103.46,103.94
"June 21, 2016",101.59,105.56,99.58,104.73
"June 20, 2016",104.79,106.70,101.38,103.08
"June 17, 2016",96.55,104.54,96.40,102.66
"June 16, 2016",95.78,95.92,90.46,94.91
"June 15, 2016",97.22,102.05,95.78,97.66
"June 14, 2016",95.42,100.60,94.18,98.89
"June 13, 2016",93.52,99.94,92.47,96.89
"June 10, 2016",102.78,103.07,95.84,96.23
"June 9, 2016",100.76,104.90,99.28,104.16
"June 8, 2016",104.54,108.41,102.98,103.40
"June 7, 2016",97.71,102.80,97.71,102.13
"June 6, 2016",88.90,97.54,88.43,96.94
"June 3, 2016",88.25,89.17,85.14,87.06
"June 2, 2016",87.01,87.91,84.20,87.49
"June 1, 2016",85.38,89.48,82.17,89.45
"May 31, 2016",86.66,90.96,86.28,87.27
"May 27, 2016",86.52,87.34,83.43,85.38
"May 26, 2016",90.14,92.84,85.72,86.95
"May 25, 2016",83.48,90.56,83.35,90.47
"May 24, 2016",84.61,84.74,80.10,82.52
"May 23, 2016",83.21,84.07,81.60,83.24
"May 20, 2016",82.25,85.43,81.19,84.86
"May 19, 2016",81.49,83.32,78.79,81.93
"May 18, 2016",86.20,89.37,82.97,83.45
"May 17, 2016",85.87,89.47,85.58,87.47
"May 16, 2016",83.22,87.52,83.22,86.59
"May 13, 2016",82.23,84.62,79.52,80.79
"May 12, 2016",84.30,86.88,81.75,83.03
"May 11, 2016",83.20,86.66,82.31,83.35
"May 10, 2016",77.02,83.63,77.02,82.93
"May 9, 2016",83.37,83.37,75.87,77.02
"May 6, 2016",68.38,84.37,68.38,83.37
"May 5, 2016",72.32,74.41,66.92,67.96
"May 4, 2016",72.23,75.58,69.97,70.92
"May 3, 2016",75.95,75.95,71.31,71.96
"May 2, 2016",78.79,78.79,74.18,77.02
"April 29, 2016",79.21,82.85,75.45,78.60
"April 28, 2016",78.12,81.14,76.97,78.76
"April 27, 2016",74.11,80.15,74.11,78.60
"April 26, 2016",71.26,74.98,70.14,74.11
"April 25, 2016",74.28,75.52,69.67,71.04
"April 22, 2016",72.05,77.66,72.05,74.39
"April 21, 2016",74.78,76.22,70.22,71.03
"April 20, 2016",71.42,74.90,70.65,74.11
"April 19, 2016",68.36,73.27,68.36,71.96
"April 18, 2016",68.17,69.09,63.52,67.90
"April 15, 2016",69.03,70.20,66.37,68.79
"April 14, 2016",71.95,72.28,67.35,69.10
"April 13, 2016",71.18,74.95,70.52,71.65
"April 12, 2016",63.67,71.51,63.06,71.18
"April 11, 2016",60.71,64.92,60.71,63.12
"April 8, 2016",58.24,62.78,58.24,60.35
"April 7, 2016",60.43,61.44,56.80,58.02
"April 6, 2016",59.42,62.33,57.52,60.54
"April 5, 2016",58.20,60.07,57.37,59.27
"April 4, 2016",60.05,62.78,57.58,58.63
"April 1, 2016",62.64,62.64,58.16,59.79
"March 31, 2016",61.28,63.86,60.71,62.78
"March 30, 2016",62.77,65.36,58.71,60.88
