date,pe_ratio
"Aug. 22, 2017",31.33
"Aug. 21, 2017",31.14
"Aug. 18, 2017",31.15
"Aug. 17, 2017",31.03
"Aug. 16, 2017",31.35
"Aug. 15, 2017",31.00
"Aug. 14, 2017",30.98
"Aug. 11, 2017",30.64
"Aug. 10, 2017",30.66
"Aug. 9, 2017",30.67
"Aug. 8, 2017",30.60
"Aug. 7, 2017",30.65
"Aug. 4, 2017",30.70
"Aug. 3, 2017",30.81
"Aug. 2, 2017",31.01
"Aug. 1, 2017",30.51
"July 31, 2017",30.30
"July 28, 2017",30.31
"July 27, 2017",30.57
"July 26, 2017",30.83
"July 25, 2017",30.26
"July 24, 2017",30.34
"July 21, 2017",30.21
"July 20, 2017",30.02
"July 19, 2017",29.83
"July 18, 2017",29.87
"July 17, 2017",30.01
"July 14, 2017",29.94
"July 13, 2017",29.48
"July 12, 2017",29.73
"July 11, 2017",29.27
"July 10, 2017",29.31
"July 7, 2017",29.44
"July 6, 2017",29.30
"July 5, 2017",29.48
"July 3, 2017",29.44
"June 30, 2017",29.49
"June 29, 2017",23.29
"June 28, 2017",23.39
"June 27, 2017",23.74
"June 26, 2017",23.93
"June 23, 2017",23.68
"June 22, 2017",23.78
"June 21, 2017",23.87
"June 20, 2017",24.06
"June 19, 2017",24.01
"June 16, 2017",23.91
"June 15, 2017",23.90
"June 14, 2017",23.78
"June 13, 2017",23.69
"June 12, 2017",23.55
"June 9, 2017",23.64
"June 8, 2017",23.70
"June 7, 2017",24.26
"June 6, 2017",24.09
"June 5, 2017",24.20
"June 2, 2017",24.17
"June 1, 2017",24.07
"May 31, 2017",23.92
"May 30, 2017",23.69
"May 26, 2017",23.45
"May 25, 2017",23.42
"May 24, 2017",23.14
"May 23, 2017",23.06
"May 22, 2017",22.94
"May 19, 2017",22.66
"May 18, 2017",22.48
"May 17, 2017",22.25
"May 16, 2017",22.21
"May 15, 2017",22.50
"May 12, 2017",22.29
"May 11, 2017",22.15
"May 10, 2017",22.15
"May 9, 2017",22.11
"May 8, 2017",22.37
"May 5, 2017",22.50
