date,enterprise_value
"Jan. 10, 2017",257.65B
"Jan. 9, 2017",259.31B
"Jan. 6, 2017",261.20B
"Jan. 5, 2017",262.09B
"Jan. 4, 2017",263.06B
"Jan. 3, 2017",263.11B
"Dec. 31, 2016",262.83B
"Dec. 30, 2016",261.19B
"Dec. 29, 2016",261.42B
"Dec. 28, 2016",261.59B
"Dec. 27, 2016",262.17B
"Dec. 23, 2016",262.55B
"Dec. 22, 2016",263.21B
"Dec. 21, 2016",261.59B
"Dec. 20, 2016",261.66B
"Dec. 19, 2016",261.10B
"Dec. 16, 2016",261.91B
"Dec. 15, 2016",259.96B
"Dec. 14, 2016",257.90B
"Dec. 13, 2016",260.66B
"Dec. 12, 2016",260.15B
"Dec. 9, 2016",257.62B
"Dec. 8, 2016",256.41B
"Dec. 7, 2016",255.04B
"Dec. 6, 2016",251.86B
"Dec. 5, 2016",252.79B
"Dec. 2, 2016",252.32B
"Dec. 1, 2016",252.86B
"Nov. 30, 2016",249.60B
"Nov. 29, 2016",245.41B
"Nov. 28, 2016",247.60B
"Nov. 25, 2016",248.54B
"Nov. 23, 2016",248.54B
"Nov. 22, 2016",247.82B
"Nov. 21, 2016",246.99B
"Nov. 18, 2016",245.14B
"Nov. 17, 2016",243.10B
"Nov. 16, 2016",243.54B
"Nov. 15, 2016",244.69B
"Nov. 14, 2016",240.22B
"Nov. 11, 2016",240.31B
"Nov. 10, 2016",242.48B
"Nov. 9, 2016",242.20B
"Nov. 8, 2016",241.54B
"Nov. 7, 2016",240.71B
"Nov. 4, 2016",236.80B
"Nov. 3, 2016",237.95B
"Nov. 2, 2016",237.95B
"Nov. 1, 2016",240.01B
"Oct. 31, 2016",236.74B
"Oct. 28, 2016",234.99B
"Oct. 27, 2016",227.62B
"Oct. 26, 2016",230.02B
"Oct. 25, 2016",229.23B
"Oct. 24, 2016",229.02B
"Oct. 21, 2016",230.23B
"Oct. 20, 2016",231.31B
"Oct. 19, 2016",232.06B
