date,market_cap
"Jan. 3, 2017",54.41B
"Dec. 30, 2016",53.48B
"Dec. 29, 2016",53.75B
"Dec. 28, 2016",53.07B
"Dec. 27, 2016",53.38B
"Dec. 23, 2016",53.48B
"Dec. 22, 2016",53.58B
"Dec. 21, 2016",53.05B
"Dec. 20, 2016",53.29B
"Dec. 19, 2016",53.14B
"Dec. 16, 2016",52.77B
"Dec. 15, 2016",52.38B
"Dec. 14, 2016",52.04B
"Dec. 13, 2016",53.27B
"Dec. 12, 2016",52.69B
"Dec. 9, 2016",52.24B
"Dec. 8, 2016",51.48B
"Dec. 7, 2016",51.44B
"Dec. 6, 2016",50.89B
"Dec. 5, 2016",50.71B
"Dec. 2, 2016",50.58B
"Dec. 1, 2016",50.12B
"Nov. 30, 2016",50.82B
"Nov. 29, 2016",52.61B
"Nov. 28, 2016",52.41B
"Nov. 25, 2016",51.22B
"Nov. 23, 2016",50.66B
"Nov. 22, 2016",50.90B
"Nov. 21, 2016",51.28B
"Nov. 18, 2016",50.71B
"Nov. 17, 2016",50.89B
"Nov. 16, 2016",50.96B
"Nov. 15, 2016",52.31B
"Nov. 14, 2016",51.28B
"Nov. 11, 2016",51.84B
"Nov. 10, 2016",51.78B
"Nov. 9, 2016",53.28B
"Nov. 8, 2016",54.87B
"Nov. 7, 2016",54.52B
"Nov. 4, 2016",53.23B
"Nov. 3, 2016",53.72B
"Nov. 2, 2016",53.74B
"Nov. 1, 2016",54.13B
"Oct. 31, 2016",55.13B
"Oct. 28, 2016",54.23B
"Oct. 27, 2016",54.03B
"Oct. 26, 2016",54.27B
"Oct. 25, 2016",54.14B
"Oct. 24, 2016",54.01B
"Oct. 21, 2016",53.75B
"Oct. 20, 2016",54.03B
"Oct. 19, 2016",53.83B
"Oct. 18, 2016",53.67B
"Oct. 17, 2016",53.42B
"Oct. 14, 2016",53.19B
"Oct. 13, 2016",53.70B
"Oct. 12, 2016",52.81B
"Oct. 11, 2016",52.30B
"Oct. 10, 2016",53.09B
"Oct. 7, 2016",52.75B
"Oct. 6, 2016",53.11B
"Oct. 5, 2016",53.11B
"Oct. 4, 2016",53.37B
"Oct. 3, 2016",54.49B
"Sept. 30, 2016",55.14B
"Sept. 29, 2016",55.33B
"Sept. 28, 2016",55.87B
"Sept. 27, 2016",56.10B
"Sept. 26, 2016",56.60B
"Sept. 23, 2016",56.85B
"Sept. 22, 2016",56.84B
"Sept. 21, 2016",56.42B
