date,us_crude_oil_production
"March 31, 1961",231.60M
"Feb. 28, 1961",204.27M
"Jan. 31, 1961",223.50M
"Dec. 31, 1960",221.65M
"Nov. 30, 1960",213.99M
"Oct. 31, 1960",215.69M
"Sept. 30, 1960",209.12M
"Aug. 31, 1960",215.14M
"July 31, 1960",212.64M
"June 30, 1960",208.16M
"May 31, 1960",212.30M
"April 30, 1960",211.13M
"March 31, 1960",220.98M
"Feb. 29, 1960",209.99M
"Jan. 31, 1960",224.14M
"Dec. 31, 1959",222.97M
"Nov. 30, 1959",209.45M
"Oct. 31, 1959",214.25M
"Sept. 30, 1959",205.70M
"Aug. 31, 1959",209.73M
"July 31, 1959",210.31M
"June 30, 1959",212.49M
"May 31, 1959",223.81M
"April 30, 1959",217.68M
"March 31, 1959",222.84M
"Feb. 28, 1959",201.44M
"Jan. 31, 1959",223.93M
"Dec. 31, 1958",221.28M
"Nov. 30, 1958",209.25M
"Oct. 31, 1958",215.89M
"Sept. 30, 1958",212.64M
"Aug. 31, 1958",215.03M
"July 31, 1958",203.70M
"June 30, 1958",190.17M
"May 31, 1958",193.20M
"April 30, 1958",189.01M
"March 31, 1958",194.58M
"Feb. 28, 1958",190.95M
"Jan. 31, 1958",213.28M
"Dec. 31, 1957",214.64M
"Nov. 30, 1957",205.25M
"Oct. 31, 1957",212.06M
"Sept. 30, 1957",206.78M
"Aug. 31, 1957",210.15M
"July 31, 1957",212.78M
"June 30, 1957",213.30M
"May 31, 1957",230.47M
"April 30, 1957",226.39M
"March 31, 1957",238.49M
"Feb. 28, 1957",214.97M
"Jan. 31, 1957",231.63M
"Dec. 31, 1956",228.67M
"Nov. 30, 1956",214.44M
"Oct. 31, 1956",215.57M
"Sept. 30, 1956",211.58M
"Aug. 31, 1956",223.04M
"July 31, 1956",219.77M
"June 30, 1956",213.01M
"May 31, 1956",218.94M
"April 30, 1956",214.41M
"March 31, 1956",225.64M
"Feb. 29, 1956",209.08M
"Jan. 31, 1956",223.12M
"Dec. 31, 1955",221.86M
"Nov. 30, 1955",210.45M
"Oct. 31, 1955",211.87M
"Sept. 30, 1955",202.04M
"Aug. 31, 1955",206.62M
"July 31, 1955",205.61M
"June 30, 1955",197.84M
"May 31, 1955",207.07M
"April 30, 1955",206.67M
"March 31, 1955",213.45M
"Feb. 28, 1955",191.34M
"Jan. 31, 1955",209.60M
"Dec. 31, 1954",198.13M
"Nov. 30, 1954",190.37M
"Oct. 31, 1954",189.72M
"Sept. 30, 1954",184.32M
"Aug. 31, 1954",190.39M
"July 31, 1954",194.10M
"June 30, 1954",194.97M
"May 31, 1954",200.63M
"April 30, 1954",198.50M
"March 31, 1954",201.76M
"Feb. 28, 1954",178.64M
"Jan. 31, 1954",193.44M
"Dec. 31, 1953",193.35M
"Nov. 30, 1953",188.12M
"Oct. 31, 1953",193.73M
"Sept. 30, 1953",196.57M
"Aug. 31, 1953",204.49M
"July 31, 1953",204.71M
"June 30, 1953",197.63M
"May 31, 1953",198.12M
"April 30, 1953",191.95M
"March 31, 1953",202.02M
"Feb. 28, 1953",183.18M
"Jan. 31, 1953",203.21M
"Dec. 31, 1952",205.90M
"Nov. 30, 1952",193.83M
"Oct. 31, 1952",201.58M
"Sept. 30, 1952",195.60M
"Aug. 31, 1952",192.77M
"July 31, 1952",188.98M
"June 30, 1952",185.69M
"May 31, 1952",157.75M
"April 30, 1952",192.94M
"March 31, 1952",197.12M
"Feb. 29, 1952",184.82M
"Jan. 31, 1952",192.85M
"Dec. 31, 1951",191.97M
"Nov. 30, 1951",188.50M
"Oct. 31, 1951",198.16M
"Sept. 30, 1951",188.02M
"Aug. 31, 1951",193.54M
"July 31, 1951",190.63M
"June 30, 1951",184.06M
"May 31, 1951",191.60M
"April 30, 1951",183.86M
"March 31, 1951",187.77M
"Feb. 28, 1951",166.16M
"Jan. 31, 1951",183.44M
"Dec. 31, 1950",177.46M
"Nov. 30, 1950",176.78M
"Oct. 31, 1950",183.01M
"Sept. 30, 1950",176.70M
"Aug. 31, 1950",176.19M
"July 31, 1950",170.06M
"June 30, 1950",161.30M
"May 31, 1950",159.56M
"April 30, 1950",149.15M
"March 31, 1950",151.30M
"Feb. 28, 1950",139.13M
"Jan. 31, 1950",152.94M
"Dec. 31, 1949",155.83M
"Nov. 30, 1949",156.50M
"Oct. 31, 1949",155.47M
"Sept. 30, 1949",148.29M
"Aug. 31, 1949",148.36M
"July 31, 1949",145.53M
"June 30, 1949",147.28M
"May 31, 1949",154.25M
"April 30, 1949",150.34M
"March 31, 1949",162.40M
"Feb. 28, 1949",150.68M
"Jan. 31, 1949",167.02M
"Dec. 31, 1948",177.39M
"Nov. 30, 1948",170.78M
"Oct. 31, 1948",174.97M
"Sept. 30, 1948",163.24M
"Aug. 31, 1948",173.02M
"July 31, 1948",171.37M
"June 30, 1948",166.45M
"May 31, 1948",170.70M
"April 30, 1948",164.73M
"March 31, 1948",167.87M
"Feb. 29, 1948",155.58M
"Jan. 31, 1948",164.10M
"Dec. 31, 1947",165.56M
"Nov. 30, 1947",158.70M
"Oct. 31, 1947",165.03M
"Sept. 30, 1947",157.66M
"Aug. 31, 1947",160.45M
"July 31, 1947",159.37M
"June 30, 1947",153.06M
"May 31, 1947",156.06M
"April 30, 1947",149.41M
"March 31, 1947",152.18M
"Feb. 28, 1947",134.70M
"Jan. 31, 1947",144.82M
"Dec. 31, 1946",146.47M
"Nov. 30, 1946",144.67M
"Oct. 31, 1946",148.32M
"Sept. 30, 1946",143.71M
"Aug. 31, 1946",149.91M
"July 31, 1946",152.59M
"June 30, 1946",146.89M
"May 31, 1946",148.33M
