date,year_high
"Aug. 14, 2017",124.79
"Aug. 11, 2017",124.79
"Aug. 10, 2017",124.79
"Aug. 9, 2017",124.79
"Aug. 8, 2017",124.79
"Aug. 7, 2017",124.79
"Aug. 4, 2017",124.79
"Aug. 3, 2017",124.79
"Aug. 2, 2017",124.79
"Aug. 1, 2017",124.79
"July 31, 2017",124.79
"July 28, 2017",124.79
"July 27, 2017",124.79
"July 26, 2017",124.79
"July 25, 2017",124.79
"July 24, 2017",124.79
"July 21, 2017",124.79
"July 20, 2017",124.79
"July 19, 2017",124.79
"July 18, 2017",124.79
"July 17, 2017",124.79
"July 14, 2017",124.79
"July 13, 2017",124.79
"July 12, 2017",124.79
"July 11, 2017",123.74
"July 10, 2017",123.74
"July 7, 2017",123.15
"July 6, 2017",123.15
"July 5, 2017",123.15
"July 3, 2017",123.15
"June 30, 2017",123.09
"June 29, 2017",123.09
"June 28, 2017",123.09
"June 27, 2017",123.09
"June 26, 2017",123.09
"June 23, 2017",122.96
"June 22, 2017",122.96
"June 21, 2017",122.85
"June 20, 2017",122.85
"June 19, 2017",122.85
"June 16, 2017",122.85
"June 15, 2017",122.85
"June 14, 2017",122.85
"June 13, 2017",122.85
"June 12, 2017",122.85
"June 9, 2017",122.85
"June 8, 2017",122.85
"June 7, 2017",122.85
"June 6, 2017",122.85
"June 5, 2017",122.85
"June 2, 2017",122.85
"June 1, 2017",122.84
"May 31, 2017",122.84
"May 30, 2017",122.84
"May 26, 2017",122.84
"May 25, 2017",122.84
"May 24, 2017",122.84
"May 23, 2017",122.48
"May 22, 2017",122.05
"May 19, 2017",121.95
"May 18, 2017",121.95
"May 17, 2017",121.95
"May 16, 2017",121.95
"May 15, 2017",121.95
"May 12, 2017",121.95
"May 11, 2017",121.95
"May 10, 2017",121.95
"May 9, 2017",121.95
"May 8, 2017",121.55
"May 5, 2017",121.45
"May 4, 2017",121.00
"May 3, 2017",120.46
"May 2, 2017",119.70
"May 1, 2017",119.70
"April 28, 2017",119.61
"April 27, 2017",119.25
"April 26, 2017",119.25
"April 25, 2017",117.31
"April 24, 2017",116.59
"April 21, 2017",115.28
"April 20, 2017",114.44
"April 19, 2017",114.44
"April 18, 2017",114.44
"April 17, 2017",114.44
"April 13, 2017",114.44
"April 12, 2017",114.44
"April 11, 2017",114.44
"April 10, 2017",114.44
"April 7, 2017",114.44
"April 6, 2017",114.44
"April 5, 2017",114.44
"April 4, 2017",114.44
"April 3, 2017",114.44
"March 31, 2017",114.44
"March 30, 2017",114.44
"March 29, 2017",114.44
"March 28, 2017",114.44
"March 27, 2017",114.44
"March 24, 2017",114.44
"March 23, 2017",114.44
"March 22, 2017",114.44
"March 21, 2017",114.44
"March 20, 2017",114.44
"March 17, 2017",114.44
"March 16, 2017",114.44
"March 15, 2017",114.44
"March 14, 2017",114.44
"March 13, 2017",114.44
"March 10, 2017",114.44
"March 9, 2017",114.44
"March 8, 2017",114.44
"March 7, 2017",114.44
"March 6, 2017",114.44
"March 3, 2017",114.44
"March 2, 2017",114.44
"March 1, 2017",114.44
"Feb. 28, 2017",113.19
"Feb. 27, 2017",112.97
"Feb. 24, 2017",112.88
"Feb. 23, 2017",112.88
"Feb. 22, 2017",112.83
"Feb. 21, 2017",112.83
"Feb. 17, 2017",112.83
"Feb. 16, 2017",112.83
"Feb. 15, 2017",112.83
"Feb. 14, 2017",112.83
"Feb. 13, 2017",112.83
"Feb. 10, 2017",112.83
"Feb. 9, 2017",112.83
"Feb. 8, 2017",112.83
"Feb. 7, 2017",112.83
"Feb. 6, 2017",112.83
"Feb. 3, 2017",112.83
"Feb. 2, 2017",112.83
"Feb. 1, 2017",112.83
"Jan. 31, 2017",112.83
"Jan. 30, 2017",112.83
"Jan. 27, 2017",112.83
"Jan. 26, 2017",112.83
"Jan. 25, 2017",112.83
"Jan. 24, 2017",112.83
"Jan. 23, 2017",112.83
"Jan. 20, 2017",112.83
"Jan. 19, 2017",112.83
"Jan. 18, 2017",112.83
"Jan. 17, 2017",112.83
"Jan. 13, 2017",112.83
"Jan. 12, 2017",112.83
"Jan. 11, 2017",112.83
"Jan. 10, 2017",112.83
"Jan. 9, 2017",112.83
"Jan. 6, 2017",112.83
"Jan. 5, 2017",111.94
"Jan. 4, 2017",111.70
"Jan. 3, 2017",111.69
"Dec. 30, 2016",111.69
"Dec. 29, 2016",111.69
"Dec. 28, 2016",111.69
"Dec. 27, 2016",111.69
"Dec. 23, 2016",111.69
"Dec. 22, 2016",111.69
"Dec. 21, 2016",111.69
"Dec. 20, 2016",111.69
"Dec. 19, 2016",111.69
"Dec. 16, 2016",111.69
"Dec. 15, 2016",111.69
"Dec. 14, 2016",111.69
"Dec. 13, 2016",111.69
